hanzi,sentence,en,th
作业,我还没做完作业。,I haven't finished my homework yet.,ฉันยังทำการบ้านไม่เสร็จ
作用,这个药有作用。,This medicine works.,ยานี้ใช้ได้ผล
坐船,我们坐船去那个岛。,We took a boat to that island.,เรานั่งเรือไปเกาะนั้น
坐船去,我们坐船去那个岛。,We went to that island by boat.,เรานั่งเรือไปเกาะนั้น
坐地铁,我每天坐地铁上班。,I take the subway to work every day.,ฉันนั่งรถไฟฟ้าใต้ดินไปทำงานทุกวัน
坐飞机,我第一次坐飞机。,This is my first time taking a plane.,นี่เป็นครั้งแรกที่ฉันนั่งเครื่องบิน
坐在,她坐在椅子上。,She is sitting on the chair.,เธอนั่งอยู่บนเก้าอี้
做出,他做出了正确的决定。,He made the right decision.,เขาตัดสินใจได้อย่างถูกต้อง
做到,我一定能做到。,I can definitely make it happen.,ฉันต้องทำให้ได้แน่นอน
做饭,妈妈在厨房做饭。,Mom is cooking in the kitchen.,แม่กำลังทำอาหารในครัว
做客,我去朋友家做客。,I went to my friend's house as a guest.,ฉันไปเยี่ยมเยือนบ้านเพื่อน
做人,做人要诚实。,One should be honest in life.,การเป็นคนต้องซื่อสัตย์
做事,他做事很认真。,He is very conscientious in his work.,เขาทำงานอย่างจริงจัง
把,他把着方向盘。,He is gripping the steering wheel.,เขาจับพวงมาลัยไว้
故事,奶奶讲了一个故事。,Grandma told a story.,คุณยายเล่านิทานเรื่องหนึ่ง
比较,老师比较了两篇作文。,The teacher compared the two essays.,ครูเปรียบเทียบเรียงความสองเรื่อง
一边,他站在一边等待。,He stood to one side and waited.,เขายืนอยู่ข้างๆ รอคอย
不想,我今天不想上班。,I don't want to go to work today.,วันนี้ฉันไม่อยากไปทำงาน
总,这家公司总部很大。,This company's headquarters is very large.,สำนักงานใหญ่ของบริษัทนี้ใหญ่มาก
